No;lokasi;kamar_tidur;kamar_mandi;luas_rumah;luas_tanah;harga;jenis_rumah
435;Sawangan;3;2;80;117;590000000;Menengah
436;Cimanggis;3;2;80;100;800000000;Menengah
437;Beji;2;1;50;77;790000000;Sederhana
438;Sawangan;1;1;70;81;525000000;Menengah
439;Sawangan;2;1;50;66;305000000;Sederhana
440;Sawangan;2;2;290;290;800000000;Mewah
441;Sukmajaya;3;2;80;114;1350000000;Menengah
442;Sawangan;5;3;240;260;2200000000;Mewah
443;Sawangan;3;2;68;80;465000000;Menengah
444;Cimanggis;3;2;80;60;865000000;Sederhana
445;Sukmajaya;3;2;80;102;850000000;Menengah
446;Bojongsari;2;1;40;84;629000000;Menengah
447;Cimanggis;2;1;40;60;662395000;Sederhana
448;Sawangan;2;1;40;114;600000000;Menengah
449;Sukmajaya;4;3;300;250;1350000000;Mewah
450;Beji;3;2;190;300;2200000000;Mewah
451;Beji;2;1;45;74;565000000;Sederhana
452;Beji;3;1;76;76;650000000;Sederhana
453;Sawangan;5;3;378;268;2400000000;Mewah
454;Sukmajaya;2;2;60;100;725000000;Menengah
455;Cinere;3;3;150;105;2300000000;Menengah
456;Cinere;2;1;75;75;165000000;Sederhana
457;Sukmajaya;2;1;45;70;645000000;Sederhana
458;Sukmajaya;2;1;65;80;650000000;Menengah
459;Cinere;3;4;250;200;3700000000;Menengah
460;Cilodong;2;1;75;80;235000000;Menengah
461;Sawangan;5;4;300;334;1900000000;Mewah
462;Sawangan;2;1;75;105;525000000;Menengah
463;Beji;3;3;100;67;1050000000;Sederhana
464;Cipayung;2;1;36;60;450000000;Sederhana
465;Cilodong;3;2;90;80;600000000;Menengah
466;Beji;2;1;45;70;660000000;Sederhana
467;Beji;3;2;70;92;855000000;Menengah
468;Bojongsari;2;1;56;95;870000000;Menengah
469;Cinere;3;2;100;124;1000000000;Menengah
470;Beji;5;4;321;212;1750000000;Mewah
471;Cipayung;2;1;45;73;450000000;Sederhana
472;Bojongsari;3;2;54;90;600000000;Menengah
473;Sukmajaya;2;1;45;85;580000000;Menengah
474;Beji;3;1;60;110;850000000;Menengah
475;Sawangan;3;2;110;110;365000000;Menengah
476;Limo;5;3;500;1024;6500000001;Mewah
477;Cipayung;3;2;70;90;750000000;Menengah
478;Cilodong;3;2;107;107;550000000;Menengah
479;Beji;3;2;200;150;1200000000;Menengah
480;Beji;3;2;80;60;900000000;Sederhana
481;Cimanggis;2;1;30;50;288000000;Sederhana
482;Cipayung;3;2;70;90;750000000;Menengah
483;Cilodong;3;2;107;107;550000000;Menengah
484;Cinere;4;4;500;635;12000000000;Mewah
485;Cinere;6;6;750;1040;11500000000;Mewah
486;Sawangan;2;1;90;198;800000000;Menengah
487;Beji;3;2;180;91;1200000000;Menengah
488;Beji;3;2;123;80;1175000000;Menengah
489;Cinere;4;3;350;240;150000000;Mewah
490;Pancoran Mas;2;1;45;90;380000000;Menengah
491;Cilodong;2;1;85;85;200000000;Menengah
492;Beji;2;1;60;79;670000000;Sederhana
493;Pancoran Mas;3;3;80;72;750000000;Sederhana
494;Cimanggis;3;2;69;72;620000000;Sederhana
495;Pancoran Mas;3;2;105;89;950000000;Menengah
496;Cilodong;2;2;60;104;650000000;Menengah
497;Sawangan;2;2;72;60;595000000;Sederhana
498;Bojongsari;3;2;80;84;770000000;Menengah
499;Sukmajaya;3;1;118;118;650000000;Menengah
500;Sawangan;2;1;72;36;400000000;Sederhana
501;Sukmajaya;3;2;140;140;750000000;Menengah
502;Sawangan;3;2;70;63;675000000;Sederhana
503;Beji;3;3;150;101;900000000;Menengah
504;Bojongsari;2;1;36;50;254000000;Sederhana
505;Sawangan;5;2;120;135;650000000;Menengah
506;Cipayung;2;1;40;40;140000000;Sederhana
507;Cinere;2;1;30;60;260000000;Sederhana
508;Cilodong;3;2;90;72;600000000;Sederhana
509;Tapos;5;4;400;1200;3900000000;Mewah
510;Pancoran Mas;2;1;45;85;375000000;Menengah
511;Sukmajaya;2;2;90;90;650000000;Menengah
512;Beji;4;3;127;100;1600000000;Menengah
513;Pancoran Mas;2;1;45;85;375000000;Menengah
514;Cipayung;2;1;45;54;385000000;Sederhana
515;Sawangan;4;3;120;210;1000000000;Mewah
516;Pancoran Mas;2;1;40;60;260000000;Sederhana
517;Bojongsari;3;2;149;127;700000000;Menengah
518;Cilodong;2;1;36;66;355000000;Sederhana
519;Cipayung;0;0;0;0;300000000;Sederhana
520;Sawangan;2;1;60;100;590000000;Menengah
521;Cinere;4;2;235;2400;1600000000;Mewah
